Reference, Quantity, Value,Part Number, Footprint
C1 C2 ,2,22pF,K220J15C0GF5TL2,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm
C3 C4 C5 ,3,100nF,C320C104K5R5TA7317 ,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm
D1 ,1,LED,3mm LED,LED_THT:LED_D3.0mm
ICSP1 ,1,Conn_02x03_Odd_Even,2x3 male header,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical
J1 ,1,Conn_01x06_Male,1x6 male header,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical
J2 ,1,Conn_01x03_Male,1x3 male header,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
J3 ,1,Conn_01x08_Female,PRPC040SBAN-M71RC (cur to lenth) or PPTC231LFBN-RC,Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical
J4 J5 ,2,Conn_01x06_Female,See J3,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical
J6 ,1,Conn_01x03_Female,See J3,Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical
J7 ,1,Conn_01x02_Male,1x5 male header,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
JP1 ,1,SolderJumper_2_Bridged,N/A,Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm
R1 ,1,10K,1/8W 10 kOhms,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal
R2 R3 R4 R5 ,4,1K,1/8W 1 kOhms,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal
SW1 ,1,RESET_SWITCH,1825910-6,Button_Switch_THT:SW_PUSH_6mm
U1 ,1,ATmega328P-PU,ATmega328P-PU,Package_DIP:DIP-28_W7.62mm
Y1 ,1,Crystal 16MHz,9B-16.000MBBK-B,Crystal:Crystal_HC49-4H_Vertical
